Timestamp,TimeRemaining,BTC_Price,BTC_Open,Diff,Range,Odds,Trend_4h,Trend_1h,RSI_1m,ATR_5m,Hurst,V-UP,V-DN,Sling,Cobra,Coiled,Flag,M_Score,M_Status,Scanners,Up_Ask,Dn_Ask,Up_Bid,Dn_Bid,Shares_UP,Shares_DN,Sim_Bal,Live_Bal,Risk_Bal
2026-04-01 20:52:54,00:00,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,0.500,0,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:53:05,115s,68310.70,68285.50,25.20,25.20,24.0,NEUTRAL,W-UP,35.9,65.30,0.500,16,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.620,0.390,0.630,0.390,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:53:10,00:00,68310.70,68285.50,25.20,25.20,24.0,NEUTRAL,W-UP,35.9,65.30,0.500,16,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.620,0.390,0.630,0.390,0.00,0.00,100.00,93.04,100.00
2026-04-01 20:53:12,108s,68310.60,68285.50,25.10,25.20,9.0,NEUTRAL,W-UP,35.3,55.65,0.500,24,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.580,0.440,0.550,0.460,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:53:18,102s,68306.00,68285.50,20.50,25.20,7.0,NEUTRAL,W-UP,35.3,55.78,0.500,26,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.545,0.465,0.550,0.480,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:53:24,96s,68310.55,68285.50,25.05,25.20,35.0,NEUTRAL,W-UP,35.3,55.78,0.500,39,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.645,0.350,0.680,0.330,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:53:26,00:00,68310.55,68285.50,25.05,25.20,35.0,NEUTRAL,W-UP,35.3,55.78,0.500,39,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.645,0.350,0.680,0.330,0.00,0.00,100.00,93.04,100.00
2026-04-01 20:53:30,90s,68314.50,68285.50,29.00,29.00,38.0,NEUTRAL,W-UP,36.8,56.80,0.500,46,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.690,0.310,0.690,0.310,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:53:36,84s,68314.50,68285.50,29.00,29.00,69.0,NEUTRAL,W-UP,39.9,60.98,0.500,73,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.835,0.145,0.840,0.150,0.00,0.00,100.00,0.00,100.00
2026-04-01 20:53:41,00:00,68314.50,68285.50,29.00,29.00,69.0,NEUTRAL,W-UP,39.9,60.98,0.500,73,0,OFF,OFF,OFF,WAIT_DATA,0,NEUTRAL,0,0.835,0.145,0.840,0.150,0.00,0.00,100.00,93.04,100.00
